  USAF  WBAN YR--MODAHRMN DIR SPD GUS CLG SKC L M H  VSB MW MW MW MW AW AW AW AW W TEMP DEWP    SLP   ALT    STP MAX MIN PCP01 PCP06 PCP24 PCPXX SD
720617 00208 201604010015 ***   0 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   79   66 ****** 29.67 ****** *** *** ***** ***** ***** ***** ** 
720617 00208 201604010035 330   6 *** 722 CLR * * *  9.1 ** ** ** ** ** ** ** ** *   75   66 ****** 29.66 ****** *** *** ***** ***** ***** ***** ** 
720617 00208 201604010055 330   3 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   73   66 ****** 29.67 ****** *** *** ***** ***** ***** ***** ** 
720617 00208 201604010115 330   6 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   73   66 ****** 29.68 ****** *** *** ***** ***** ***** ***** ** 
720617 00208 201604010135 340   7 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   72   64 ****** 29.70 ****** *** *** ***** ***** ***** ***** ** 
720617 00208 201604010155 350   6 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   72   63 ****** 29.70 ****** *** *** ***** ***** ***** ***** ** 
720617 00208 201604010215 360  10 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   68   63 ****** 29.70 ****** *** *** ***** ***** ***** ***** ** 
720617 00208 201604010235 010  13 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   72   59 ****** 29.70 ****** *** *** ***** ***** ***** ***** ** 
720617 00208 201604010255 010  11 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   70   55 ****** 29.71 ****** *** *** ***** ***** ***** ***** ** 
720617 00208 201604010315 020  10 *** 722 SCT * * * 10.0 ** ** ** ** ** ** ** ** *   70   55 ****** 29.71 ****** *** *** ***** ***** ***** ***** ** 
720617 00208 201604010335 030   8 *** 722 SCT * * * 10.0 ** ** ** ** ** ** ** ** *   68   55 ****** 29.72 ****** *** *** ***** ***** ***** ***** ** 
720617 00208 201604010355 ***   0 *** 722 SCT * * * 10.0 ** ** ** ** ** ** ** ** *   66   55 ****** 29.75 ****** *** *** ***** ***** ***** ***** ** 
720617 00208 201604010415 030   6 *** 722 CLR * * * 10.0 ** ** ** ** ** ** ** ** *   66   55 ****** 29.75 ****** *** *** ***** ***** ***** ***** ** 
720617 00208 201604010435 030   6 *** 722 SCT * * * 10.0 ** ** ** ** ** ** ** ** *   63   55 ****** 29.75 ****** *** *** ***** ***** ***** ***** ** 
720617 00208 201604010455 360   7 *** 722 SCT * * * 10.0 ** ** ** ** ** ** ** ** *   63   55 ****** 29.76 ****** *** *** ***** ***** ***** ***** ** 
720617 00208 201604010515 360   6 *** 722 SCT * * * 10.0 ** ** ** ** ** ** ** ** *   63   55 ****** 29.76 ****** *** *** ***** ***** ***** ***** ** 
720617 00208 201604010535 010   8 *** 722 SCT * * * 10.0 ** ** ** ** ** ** ** ** *   59   55 ****** 29.75 ****** *** *** ***** ***** ***** ***** ** 
720617 00208 201604010555 ***   0 *** 722 SCT * * * 10.0 ** ** ** ** ** ** ** ** *   59   54 ****** 29.77 ****** *** *** ***** ***** ***** ***** ** 
720617 00208 201604010615 ***   0 ***  55 *** * * * 10.0 ** ** ** ** ** ** ** ** *   63   54 ****** 29.78 ****** *** *** ***** ***** ***** ***** ** 
720617 00208 201604010635 ***   0 ***  55 *** * * * 10.0 ** ** ** ** ** ** ** ** *   63   54 ****** 29.78 ****** *** *** ***** ***** ***** ***** ** 
720617 00208 201604010655 040   7 ***  55 *** * * * 10.0 ** ** ** ** ** ** ** ** *   59   54 ****** 29.77 ****** *** *** ***** ***** ***** ***** ** 
